ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,,
EF0711A,EF07A,ผักชี (ตัวเงิน),Coriander (cash),,
EF0711BC,EF07BC,ผักชี (สิ่งของ),Coriander (in-kind),,
EF0712A,EF07A,มะเขือเทศ (ตัวเงิน),Tomato (cash),,
EF0712BC,EF07BC,มะเขือเทศ (สิ่งของ),Tomato (in-kind),,
EF0713A,EF07A,มะเขือเปราะ/มะเขือยาว (ตัวเงิน),Thai eggplant / Eggplant (cash),,
EF0713BC,EF07BC,มะเขือเปราะ/มะเขือยาว (สิ่งของ),Thai eggplant / Eggplant (in-kind),,
EF0714A,EF07A,ถั่วฝักยาว (ตัวเงิน),String bean (cash),,
EF0714BC,EF07BC,ถั่วฝักยาว (สิ่งของ),String bean (in-kind),,
EF0715A,EF07A,บวบ (ตัวเงิน),Angled loofah (cash),,
EF0715BC,EF07BC,บวบ (สิ่งของ),Angled loofah (in-kind),,
EF0716A,EF07A,มะละกอดิบ (ตัวเงิน),Raw papaya (cash),,
EF0716BC,EF07BC,มะละกอดิบ (สิ่งของ),Raw papaya (in-kind),,
